Notice: it is a crossflow
tfa_in(c), tfa_out(c), humidfa_in(kg/kg), humidfa_out(kg/kg), rhfa_in, rhfa_out, Pvapfa_in(pa), Pvapfa_out(pa),	tpf_in(c), tpf_out(c), humidpf_in(kg / kg), humidpf_out(kg / kg), rhpf_in, rhpf_out, Pvappf_in(pa), Pvappf_out(pa)
35, 28.7351, 0.0211578, 0.0141326, 0.59, 0.568087, 3297.57, 2227.2, 27, 33.2652, 0.0121019, 0.0190648, 0.54, 0.587448, 1913.34, 2981.15
tfa(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
4, 27.6479, 28.3354, 29.0277, 29.7002, 30.3365, 30.9265, 31.4646, 31.9492, 32.3808, 32.7617, 33.0952, 33.3852, 33.6359, 33.8513, 34.0357, 34.1928, 34.326, 34.4387, 34.5336, 34.6133, 34.6801
5, 27.492, 28.0516, 28.6457, 29.2485, 29.8406, 30.4082, 30.9419, 31.4358, 31.8873, 32.2953, 32.6607, 32.9853, 33.2716, 33.5226, 33.7414, 33.9311, 34.0949, 34.2357, 34.3563, 34.4591, 34.5466
6, 27.3736, 27.827, 28.3322, 28.8654, 29.4074, 29.9427, 30.4601, 30.9513, 31.4108, 31.8354, 32.2235, 32.5751, 32.8911, 33.173, 33.423, 33.6433, 33.8366, 34.0053, 34.152, 34.2789, 34.3884
7, 27.2837, 27.6496, 28.0759, 28.5424, 29.0317, 29.5286, 30.0212, 30.4999, 30.9575, 31.389, 31.7911, 32.1621, 32.5013, 32.809, 33.0862, 33.3343, 33.5551, 33.7507, 33.923, 34.0741, 34.2062
8, 27.2154, 27.5097, 27.867, 28.2715, 28.7081, 29.1633, 29.6252, 30.084, 30.5316, 30.9617, 31.3699, 31.7529, 32.1088, 32.4368, 32.7367, 33.0089, 33.2547, 33.4752, 33.672, 33.8469, 34.0015
9, 27.1636, 27.3995, 27.6972, 28.0451, 28.431, 28.8433, 29.271, 29.7045, 30.1356, 30.5575, 30.9647, 31.353, 31.7194, 32.062, 32.3798, 32.6722, 32.9396, 33.1826, 33.4022, 33.5996, 33.7763
10, 27.1242, 27.3128, 27.5597, 27.8568, 28.1951, 28.5647, 28.9564, 29.3612, 29.7711, 30.1791, 30.5792, 30.9668, 31.3379, 31.6897, 32.0205, 32.3288, 32.6143, 32.8769, 33.1169, 33.3352, 33.5327
11, 27.0943, 27.2447, 27.4484, 27.7008, 27.995, 28.3237, 28.679, 29.053, 29.4383, 29.8281, 30.2163, 30.5978, 30.9682, 31.3243, 31.6632, 31.9832, 32.283, 32.5619, 32.8197, 33.0568, 33.2735
12, 27.0716, 27.1912, 27.3588, 27.5718, 27.8262, 28.1163, 28.4358, 28.7782, 29.1367, 29.5051, 29.8775, 30.2486, 30.6138, 30.9693, 31.3119, 31.6393, 31.9495, 32.2414, 32.5141, 32.7674, 33.0013
13, 27.0544, 27.1493, 27.2866, 27.4656, 27.6842, 27.9385, 28.2238, 28.5346, 28.8653, 29.2102, 29.5638, 29.9209, 30.2769, 30.6278, 30.97, 31.3007, 31.6176, 31.9189, 32.2034, 32.4703, 32.7192
14, 27.0413, 27.1165, 27.2286, 27.3784, 27.5653, 27.7869, 28.0398, 28.32, 28.6226, 28.9427, 29.2754, 29.6158, 29.9594, 30.302, 30.6401, 30.9705, 31.2904, 31.5978, 31.8909, 32.1686, 32.43
15, 27.0313, 27.0908, 27.1821, 27.307, 27.466, 27.658, 27.881, 28.1318, 28.4066, 28.7015, 29.012, 29.3336, 29.6623, 29.9938, 30.3245, 30.6511, 30.9707, 31.2809, 31.5795, 31.8651, 32.1364
16, 27.0238, 27.0708, 27.1448, 27.2486, 27.3833, 27.5489, 27.7443, 27.9675, 28.2156, 28.4853, 28.7729, 29.0745, 29.3862, 29.7042, 30.0248, 30.3448, 30.661, 30.9708, 31.272, 31.5627, 31.8413
17, 27.0181, 27.0551, 27.1151, 27.201, 27.3146, 27.4568, 27.6273, 27.8248, 28.0473, 28.2924, 28.557, 28.8378, 29.1312, 29.4338, 29.7422, 30.0529, 30.3631, 30.6699, 30.9708, 31.2638, 31.5471
18, 27.0137, 27.0429, 27.0913, 27.1622, 27.2578, 27.3794, 27.5273, 27.7012, 27.8998, 28.1213, 28.3632, 28.6228, 28.8972, 29.1831, 29.4774, 29.7768, 30.0786, 30.3798, 30.6779, 30.9707, 31.2561
19, 27.0104, 27.0333, 27.0724, 27.1308, 27.2109, 27.3144, 27.4423, 27.5947, 27.771, 27.97, 28.1899, 28.4286, 28.6835, 28.9518, 29.2307, 29.5173, 29.8086, 30.1021, 30.3951, 30.6853, 30.9705
20, 27.0079, 27.0259, 27.0573, 27.1053, 27.1722, 27.26, 27.3701, 27.5031, 27.6589, 27.8368, 28.0357, 28.2539, 28.4893, 28.7395, 29.0022, 29.2746, 29.554, 29.8379, 30.1238, 30.4092, 30.692
humidfa(kg/kg)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
